,192.168.1.1,192.168.1.2,192.168.1.3,192.168.1.4,192.168.1.5,192.168.1.6,192.168.1.7,192.168.1.8,192.168.1.9,192.168.1.10,192.168.1.11,192.168.1.12,192.168.1.13,192.168.1.14,192.168.1.15,192.168.1.16,192.168.1.17,192.168.1.18,192.168.1.19,192.168.1.20,192.168.1.21,192.168.1.22,192.168.1.23,192.168.1.24,192.168.1.25,192.168.1.26,192.168.1.27,192.168.1.28,192.168.1.29,192.168.1.30,192.168.1.31,192.168.1.32,192.168.1.33,192.168.1.34,192.168.1.35,192.168.1.36,192.168.1.37,192.168.1.38,192.168.1.39,192.168.1.40,192.168.1.41,192.168.1.42,192.168.1.43,192.168.1.44,192.168.1.45,192.168.1.46,192.168.1.47,192.168.1.48,192.168.1.49,192.168.1.50
192.168.1.11,253,228,371,238,248,425,354,149,107,130,0,179,228,368,361,265,441,80,110,9,329,77,232,438,200,360,369,222,131,351,444,12,443,1,396,406,272,163,484,210,480,263,440,392,391,10,203,159,452,311
192.168.1.12,110,481,331,281,246,209,169,129,332,52,476,0,464,139,331,204,300,290,45,408,477,288,47,457,342,329,15,189,355,168,456,94,171,5,143,134,432,412,286,421,157,164,400,166,60,285,119,384,37,9
192.168.1.13,34,289,122,406,370,465,151,257,108,366,11,43,0,249,407,324,457,471,105,423,439,193,260,57,445,136,68,141,462,487,349,66,486,51,90,25,387,295,177,321,229,103,455,11,75,147,375,6,302,270
192.168.1.14,35,383,154,84,188,109,20,256,409,174,421,411,298,0,278,100,379,495,480,433,47,146,384,169,357,396,158,13,192,459,229,238,433,264,74,394,464,194,124,51,22,299,444,158,446,499,435,317,332,399
192.168.1.15,225,360,323,406,248,253,489,302,238,417,70,482,362,380,0,151,197,65,192,469,295,109,189,465,477,126,200,199,407,497,185,193,344,81,222,236,182,472,151,297,179,469,115,357,173,228,331,326,59,460
192.168.1.16,346,275,6,350,36,40,26,119,137,317,171,223,18,202,131,0,83,300,356,140,416,452,246,101,498,280,414,413,439,375,325,284,441,412,168,406,231,381,28,309,483,34,85,61,483,69,368,268,199,474
192.168.1.17,179,402,68,135,11,153,423,25,47,234,237,286,137,22,386,217,0,146,411,245,363,301,402,30,199,29,344,26,419,453,94,375,499,130,350,339,388,104,145,1,85,484,489,445,423,340,461,114,403,48
192.168.1.18,137,63,310,84,382,294,333,149,75,110,336,48,211,184,89,85,60,0,176,292,55,239,201,252,435,337,369,452,378,264,465,455,290,500,353,116,340,363,34,446,142,154,21,430,233,83,70,439,403,490
192.168.1.19,477,161,307,201,423,285,395,14,177,474,483,81,268,452,308,207,197,479,0,162,279,324,144,491,167,396,388,376,243,397,95,138,405,461,105,314,127,196,446,54,331,427,66,175,383,434,475,398,113,451
192.168.1.20,59,145,51,166,233,381,305,206,98,206,1,482,181,199,256,374,81,99,347,0,456,439,52,270,107,484,85,191,93,1,500,119,407,290,351,331,360,442,278,482,160,425,193,268,33,216,150,483,163,43
192.168.1.21,119,337,324,19,49,390,292,27,431,353,175,8,146,53,112,63,487,201,186,392,0,415,299,61,288,456,11,178,443,294,377,429,17,387,142,500,63,105,256,371,11,315,175,289,224,290,318,293,200,105
192.168.1.22,30,315,366,247,353,99,464,181,317,337,110,308,446,4,52,244,212,424,23,176,301,0,496,239,411,464,405,442,388,94,178,408,51,374,206,204,421,326,355,28,354,175,308,51,119,355,463,319,455,421
192.168.1.23,350,273,276,117,90,458,403,437,269,93,464,292,4,57,266,437,76,262,460,250,303,460,0,98,144,167,299,154,96,81,179,370,343,14,142,476,350,264,345,171,226,361,149,226,133,80,168,484,336,383
192.168.1.24,462,248,269,279,101,401,76,237,69,265,318,246,297,376,88,278,30,128,500,350,75,239,332,0,338,164,35,0,430,427,257,461,65,297,451,394,124,240,219,328,171,175,351,41,76,165,128,257,125,5
192.168.1.25,142,380,408,351,43,347,93,243,171,350,13,297,160,89,296,63,246,326,314,455,406,397,241,457,0,322,136,397,94,26,13,101,162,359,133,108,424,265,362,74,354,407,131,22,465,445,190,268,299,130
192.168.1.26,26,115,467,81,161,373,102,100,78,356,221,454,476,39,479,178,433,222,298,368,443,274,168,388,24,0,334,21,83,12,227,398,160,56,74,339,125,359,134,68,463,366,26,317,221,282,494,247,248,341
192.168.1.27,23,475,236,44,493,162,13,311,63,31,378,397,157,408,304,401,164,277,66,1,230,360,269,30,101,44,0,213,429,28,70,262,350,406,246,172,308,356,480,189,317,252,489,343,383,257,474,417,236,137
192.168.1.28,21,38,161,147,336,263,254,379,8,496,127,45,34,122,327,259,227,162,420,54,221,324,212,142,265,266,57,0,178,238,1,222,67,7,344,470,407,497,62,41,293,256,364,325,77,352,327,206,247,68
192.168.1.29,155,83,486,161,347,122,155,422,210,16,24,128,320,274,454,499,41,351,450,413,374,185,278,320,144,208,354,276,0,154,196,123,134,11,266,324,423,248,236,342,458,121,151,439,63,4,227,143,52,285
192.168.1.30,460,415,64,104,157,341,32,68,10,308,451,441,236,407,350,360,234,28,225,26,153,411,449,343,2,121,470,465,250,0,318,25,35,368,220,196,117,185,230,223,192,340,456,386,76,474,236,58,350,11
192.168.1.31,139,0,372,211,460,318,129,48,281,90,24,311,184,278,44,295,63,65,233,38,54,324,216,449,493,128,0,466,300,185,0,450,198,430,323,87,493,194,235,482,230,457,286,17,337,193,315,192,187,418
192.168.1.32,294,46,42,359,155,230,292,264,117,295,316,84,147,430,217,132,317,318,190,365,131,322,333,405,224,385,6,178,56,104,176,0,456,320,319,3,276,259,380,28,227,199,331,487,87,79,124,34,136,107
192.168.1.33,366,34,283,390,240,350,46,47,151,265,207,111,29,251,406,238,234,327,491,188,228,281,275,484,467,152,65,65,470,40,351,312,0,246,133,232,267,298,93,46,281,218,229,165,500,384,39,27,201,203
192.168.1.34,131,131,84,190,193,408,263,318,276,56,6,36,463,123,433,429,429,28,152,279,185,128,330,144,431,26,349,230,149,90,260,297,432,0,392,369,373,489,101,355,267,311,336,126,128,452,64,357,252,451
192.168.1.35,144,478,390,68,226,292,136,2,463,390,7,404,274,237,363,51,232,492,124,198,403,478,297,262,480,74,375,334,120,227,192,198,69,212,0,20,447,295,339,34,36,320,196,390,264,169,337,211,424,167
192.168.1.36,154,199,218,155,78,2,323,419,483,381,268,302,18,372,95,316,36,292,199,127,360,316,137,131,260,388,70,93,87,164,25,356,241,170,299,0,232,296,419,256,488,340,300,40,307,139,395,279,31,304
192.168.1.37,64,268,208,141,275,259,232,369,328,51,168,411,83,147,462,417,468,189,112,496,485,212,244,172,197,314,143,351,3,392,292,263,327,264,435,216,0,402,125,105,17,210,164,153,468,63,183,334,49,171
192.168.1.38,447,320,154,343,15,21,279,53,162,162,396,97,124,222,62,44,273,239,193,288,48,54,257,24,391,122,274,466,205,356,7,167,0,282,433,327,231,0,423,291,176,272,397,64,64,329,280,97,341,46
192.168.1.39,365,444,287,418,487,131,215,160,308,78,243,138,67,283,483,481,494,7,56,367,64,333,207,463,232,22,207,78,137,200,325,489,440,70,24,199,217,241,0,328,476,345,261,489,165,244,50,359,219,114
192.168.1.40,269,76,9,375,80,417,376,448,327,377,9,43,159,77,310,272,141,115,52,46,248,134,133,298,283,325,409,55,165,469,383,304,327,159,115,8,43,456,326,0,279,348,84,307,316,219,496,237,258,492
192.168.1.41,345,278,384,437,474,43,79,444,192,147,93,164,396,54,251,286,95,180,264,333,126,477,276,83,199,66,135,25,21,45,195,190,202,29,476,463,490,388,338,270,0,77,210,338,365,175,236,499,381,26
192.168.1.42,167,135,4,78,491,99,218,267,314,388,282,334,408,405,37,271,461,290,25,195,172,95,355,131,39,290,225,182,415,470,331,387,386,322,101,267,444,497,363,77,282,0,466,85,3,45,255,45,484,456
192.168.1.43,271,274,161,169,355,359,336,69,76,352,174,237,18,218,344,487,326,155,481,423,43,447,337,160,300,393,415,111,458,396,280,355,236,469,184,467,29,3,4,149,29,409,0,77,247,151,242,390,214,499
192.168.1.44,59,254,12,170,313,6,143,406,176,325,354,215,204,179,143,443,420,101,208,461,328,36,350,372,448,151,300,238,96,300,109,163,65,289,188,219,228,332,383,436,477,92,42,0,201,286,278,329,430,347
192.168.1.45,238,322,51,332,292,296,22,333,452,254,414,457,491,97,480,468,480,254,18,209,340,471,397,161,468,131,441,437,234,310,142,58,437,142,475,420,191,163,348,302,229,314,442,405,0,459,205,407,415,391
192.168.1.46,193,43,360,70,299,377,294,34,178,413,368,411,334,448,264,234,85,78,83,415,111,388,85,268,197,287,208,304,53,309,147,127,171,339,434,170,295,52,404,168,353,104,179,51,431,0,339,436,431,494
192.168.1.47,267,90,477,150,81,138,354,364,162,353,472,256,321,241,178,188,213,460,247,271,262,158,306,36,307,267,61,75,115,251,29,232,495,52,358,315,91,271,365,12,229,180,387,374,213,133,0,79,238,372
192.168.1.48,379,304,96,371,287,388,322,227,389,308,55,59,301,239,98,218,273,363,245,289,408,497,412,116,491,433,362,266,326,398,390,25,75,235,195,239,57,115,418,262,262,445,187,149,430,487,190,0,320,18
192.168.1.49,474,250,266,87,215,193,212,405,140,373,462,32,423,239,210,236,379,467,130,452,497,222,426,53,22,90,9,350,202,402,319,55,136,214,397,217,281,81,194,379,461,25,450,223,196,339,75,378,0,228
192.168.1.50,19,233,13,200,182,57,221,334,467,452,249,498,59,162,5,447,169,448,469,496,116,448,194,320,281,344,243,125,259,168,114,258,107,276,284,73,376,318,368,478,396,250,336,491,463,331,492,88,237,0
